type,depth,landuse,class
"Saprists/Hemists (60/40),sedang",D1,Kelapa sawit pada bekas hutan rawa > 5 th,F
"Hemists/min (30/70),dangkal",D1,Hutan rawa,T
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,F
"Hemists/Saprists (60/40),sedang",D2,Kelapa pada bekas hutan rawa > 5 th,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,F
"Saprists/Hemists (60/40),sedang",D2,Hutan rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/min (30/70),sedang",D2,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Hutan rawa,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Saprists/Hemists (60/40),dalam",D3,Belukar rawa,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan terbuka/persiapan perkebunan,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan terbuka/persiapan perkebunan,T
"Saprists/Hemists (60/40),dalam",D3,Hutan rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan terbuka/persiapan perkebunan,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
"Hemists/Saprists (60/40),sangat dalam",D4,Lahan terbuka/persiapan perkebunan,T
"Hemists/min (30/70),sedang",D2,Belukar rawa,F
